Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2022-04-15,24,1768.2994755175894,1060.165685415268,2.0,2,,,,43.84967803955078,-79.32550048828125,43.85059356689453,-79.32258605957031,0.3788794544887005,1.7839301824569702,0.2629714906215668,1907,,,,,,1573003,,,,,
2022-04-16,14,1723.2176034306908,552.5316400527954,,,,,,,,,,0.6131922518918022,1.8543671369552612,0.3287143409252167,910,,,,,,875074,,,,,
2022-04-17,149,2312.2219380318106,11137.123362779617,121.0,109,,,,,,,,0.932181626433324,2.150535821914673,0.27392861247062683,15147,,,,,,9986837,,,,,
2022-04-18,91,2141.235330029397,4994.532747745514,34.0,34,,,,,,,,0.6698312684656486,1.6685597896575928,0.2695138156414032,7015,79.1064453125,79.1064453125,79.1064453125,,,7400267,,,,,
2022-04-19,66,1932.502004358836,4402.10525560379,39.0,33,,,,,,,,1.0930108432162624,2.239837169647217,0.3259766101837158,5895,,,,,,4192090,,,,,
2022-04-20,72,1949.6961873253165,4974.292471408844,51.0,29,,,,,,,,0.6369505029536989,2.198413610458374,0.30680006742477417,6517,,,,,,4461001,,,,,
2022-04-21,165,2062.8368286024097,8886.549903035164,74.0,57,,,,,,,,0.6172378375309987,3.6427364349365234,0.2520143389701843,12257,,,,,,3985947,986998,,,,
2022-04-22,71,1951.2801991228935,3699.1437809467316,39.0,33,,,,43.84883499145508,-79.33811950683594,43.85163116455078,-79.32411193847656,0.5229717666136271,1.8494738340377808,0.27392861247062683,6220,,,,,,4485653,,,,,
2022-04-23,53,1892.6215676586162,3866.7038221359253,36.0,32,,,,,,,,0.6163396173041172,2.641916036605835,0.2672412097454071,5241,,,,,,3572639,,,,,
2022-04-24,61,1926.9921156142957,4068.7031893730164,41.0,23,,,,,,,,0.3915223411883797,2.461441993713379,0.2520143389701843,5287,,,,,,4105729,,,,,
2022-04-25,153,1665.0213329949365,5984.616577625275,33.0,33,,,,,,,,0.4968897345404879,1.7070666551589966,0.3287143409252167,8593,,,,,,30457,,,,,
2022-04-26,126,2137.339325189726,10636.465145111084,133.0,75,,,,,,,,0.875769270293251,2.3737716674804688,0.2712838053703308,12927,,,,,,1916063,2752637,,,,
2022-04-27,17,1663.0643379648955,879.6537551879883,5.0,5,,,,,,,,0.7314551332301711,1.728930115699768,0.26091688871383667,1241,,,,,,,,,,,
2022-04-28,76,1663.0643379648955,1521.0739269256592,,,,,,,,,,0.32871437072753906,0.32871437072753906,0.32871437072753906,2313,,,,,,,,,,,
2022-04-29,66,2012.6730157714283,4572.202171325684,45.0,28,,,,,,,,0.6733261194018122,2.398141622543335,0.2848857641220093,5812,,,,,,2825915,1151006,,,,
2022-04-30,118,2294.0709785279673,7558.877696275711,85.0,58,,,,,,,,0.6716654269638661,1.7494577169418335,0.24456699192523956,10258,78.19926452636719,78.19926452636719,78.19926452636719,,,6514015,1500000,,,,
2022-05-01,179,2479.920300369205,9719.994302272797,248.0,147,,,,,,,,0.4943133815768064,2.3598527908325195,0.25450271368026733,12214,,,,,,2675435,3000000,4800000,,,
2022-05-02,127,2199.8972321540873,7903.355183839798,59.0,46,,,,,,,,0.6646969253486149,2.500243663787842,0.2958429157733917,10564,,,,,,6024883,1139991,,,,
2022-05-03,11,1668.9563343652283,425.6354789733887,,,,,,,,,,0.32188491165225686,1.0486505031585693,0.27392861247062683,678,,,,,,236020,,,,,
2022-05-04,,1653.9925215563862,,,,,,,,,,,,,,23,,,,,,,,,,,
2022-05-05,164,2618.8894926712533,15256.644297838211,178.0,108,,,,43.84992980957031,-79.32577514648438,43.84992980957031,-79.32577514648438,0.5892442476440459,2.3809523582458496,0.24802841246128082,19099,77.11064147949219,77.11064147949219,77.11064147949219,,,9382190,2100000,,,,
2022-05-06,2,1643.1064055530803,155.15318298339844,,,,,,,,,,0.3562277598721418,0.5036620497703552,0.2848857641220093,261,,,,,,,,,,,
2022-05-07,292,2843.063155169682,23889.6272251606,283.0,196,,,,,,,,0.9330449352354729,2.846184492111206,0.26530173420906067,30798,,,,,,17771842,623416,,,,
2022-05-08,64,1779.1873679061887,4303.368311166763,46.0,27,,,,,,,,0.6501733966742426,2.671570301055908,0.2518653869628906,5780,,,,,,4935222,,,,,
2022-05-09,1,1643.106348128272,39.33201026916504,,,,,,,,,,0.4988715648651123,0.4988715648651123,0.4988715648651123,67,76.65705108642578,76.65705108642578,76.65705108642578,,,,,,,,
2022-05-10,,1645.7894438594021,13.80600357055664,,,,,,,,,,0.2880420982837677,0.2880420982837677,0.2880420982837677,94,,,,,,90314,,,,,
2022-05-11,128,2217.883439996409,9240.196168899536,102.0,61,,,,,,,,0.6838227796185344,2.315157413482666,0.2958429157733917,11471,,,,,,3906997,2169662,,,,
2022-05-12,110,1906.9974855344394,7369.248747348785,74.0,57,,,,,,,,0.6462284227631965,2.5382025241851807,0.3177572190761566,9897,,,,,,4332903,,,,,
2022-05-13,126,1987.6102960286128,3600.236166000366,5.0,5,,,,,,,,0.3741970375645176,1.3151493072509766,0.2629714906215668,5561,,,,,,5634141,,,,,
2022-05-14,74,1750.7298609109337,4760.522120952606,32.0,20,,,,,,,,0.6418328198930053,2.2622504234313965,0.2652941048145294,6596,,,,,,1761642,,,,,
2022-05-15,133,2527.1289541452143,12840.928225517273,179.0,93,,,,,,,,0.9494419307068014,2.1464645862579346,0.2498871237039566,17002,,,,,,3133561,4454061,,,,
2022-05-16,75,2232.437656930787,8129.186847925186,99.0,59,,,,,,,,1.0386682072927012,2.5,0.3287143409252167,9716,,,,,,1565435,2802038,,,,
2022-05-17,141,2239.7898927639303,10769.57301568985,108.0,63,,,,,,,,1.1273233147862718,2.777777671813965,0.2848857641220093,12917,,,,,,2348506,2272445,,,,
2022-05-18,46,1358.5899154296753,3641.4548528194427,45.0,31,,,,,,,,0.41527678070109786,2.3949151039123535,0.25959447026252747,4613,,,,,,2120080,62927,,,,
2022-05-19,,1638.5704235687585,59.16858673095703,,,,,,,,,,0.29238153960620555,0.32871437072753906,0.27392861247062683,113,,,,,,,,,,,
2022-05-20,1,1638.5704235687585,83.49345016479492,,,,,,,,,,0.2966631562051165,0.32871437072753906,0.2629714906215668,186,,,,,,,,,,,
2022-05-21,63,1969.3315624657857,1454.183587551117,31.0,31,,,,,,,,0.45415298669701737,2.0291857719421387,0.27392861247062683,2219,,,,1770180,,3447221,,,,,
2022-05-22,,1675.7409922626969,44.70515441894531,,,,,,,,,,0.30132149159908295,0.32871437072753906,0.27392861247062683,108,,,,,,600000,,,,,
2022-05-23,43,1675.740922001984,3466.3133850097656,60.0,30,,,,,,,,1.1421532116542492,1.7585214376449585,0.3287143409252167,4401,,,,,,600000,,,,,
2022-05-24,76,1881.9837655824595,4999.136975288391,53.0,30,,,,,,,,0.5328700090849324,2.2583301067352295,0.2848857641220093,6535,,,,,,2006904,775004,,,,
2022-05-25,7,1698.160891503316,262.43316745758057,,,,,,,,,,0.3395098497277641,0.7955934405326843,0.27392861247062683,563,,,,,,961898,,,,,
2022-05-26,80,1808.1544262580574,5023.851085186005,45.0,31,,,,,,,,0.778302318873774,2.983590841293335,0.2520143389701843,6768,,,,,,2730772,,,,,
2022-05-27,147,2000.3727892382792,7740.038191795349,63.0,48,,,,,,,,0.5262481848146753,2.062795877456665,0.3287143409252167,10546,,,,,,5840152,,,,,
2022-05-28,11,1679.9377478221463,540.4700412750244,,,,,,,,,,0.4101225992230293,1.4449927806854248,0.2676684260368347,882,,,,,,667743,,,,,
2022-05-29,203,2418.715786900842,8135.506635665894,134.0,123,,,,,,,,0.5695853253268971,2.2122888565063477,0.258850634098053,10957,,,,4398580,,5692823,962308,,,,
2022-05-30,4,1713.6249944358442,242.59120559692383,,,,,,,,,,0.3383412240834183,0.5535016655921936,0.30680006742477417,604,,,,,,1211517,,,,,
2022-05-31,131,1906.2930238875908,7203.251031279564,60.0,39,,,,,,,,0.7435063436886787,2.8217175006866455,0.27392861247062683,9680,,,,,,1727331,1141500,,,,
2022-06-01,,1676.0326535786307,41.41801071166992,,,,,,,,,,0.30132149159908295,0.32871437072753906,0.27392861247062683,93,,,,,,604707,,,,,
